Reference	Year	Publication Category	hiPSC Line (Healthy Control)	Number of Healthy Control hiPSC-CM Lines	Confluency at Start of Differentiation (%)	WNT Activator	Time of Wnt Activator (Start Day - End Day)	WNT Inhibitor	Time of Wnt Inibitor (Start Day - End Day)	Day Insulin is Added (Until End Unless Noted)	Purification Protocol	Time of hiPSC-CM Purification (Start Day - End Day)	Method to Assess Differentiation Purity	Differentiation Purity (%)	Maturation Technique: Metabolic?	Metabolic components	Maturation Technique: Electrical Stimulation?	Maturation Technique: Passive Tension?	Maturation Technique: Other Cell Types?
Ahrens, J. H. et al. Programming Cellular Alignment in Engineered Cardiac Tissue via Bioprinting Anisotropic Organ Building Blocks. Advanced Materials 34, (2022).	2022.0	Selected	BJFF	1	EB	CHIR99021	0-2	IWR1	3-5	7	No glucose with lactate	9-11	Flow cytometry for cTnT+	73				Yes	Yes
Almeida, H. V. et al. Human Extracellular-Matrix Functionalization of 3D hiPSC-Based Cardiac Tissues Improves Cardiomyocyte Maturation. ACS Appl Bio Mater 4, 18881899 (2021).	2021.0	Selected	DF19-9-11T.H	1	85	CHIR99021, Activin A	0-1	IWR1	1-6	8			Flow cytometry for SIRPA+; Flow cytometry for cTnT+; Flow cytometry for VCAM-1+	80					
Alvarez-Paino, M. et al. Polymer Microparticles with Defined Surface Chemistry and Topography Mediate the Formation of Stem Cell Aggregates and Cardiomyocyte Function. ACS Appl Mater Interfaces 11, 3456034574 (2019).	2019.0	Randomized	REB	1		Activin A, BMP4	0-2	KY02111, XAV939	2-6	6									
Amano, Y. et al. Development of vascularized iPSC derived 3D-cardiomyocyte tissues by filtration Layer-by-Layer technique and their application for pharmaceutical assays. Acta Biomater 33, 110121 (2016).	2016.0	Top 100	253G1	1	EB	Activin A, BMP4, bFGF	0-4	IWR1	4-6				Flow cytometry for cTnT+	53					Yes
Aoyama, J. et al. Spatiotemporal imaging documented the maturation of the cardiomyocytes from human induced pluripotent stem cells. Journal of Thoracic and Cardiovascular Surgery 159, 2260-2271.e7 (2020).	2020.0	Randomized	454E2	1	EB	Activin A, BMP4, bFGF	0-3	IWR1	3-5										
Arai, K. et al. Fabrication of scaffold-free tubular cardiac constructs using a Bio-3D printer. PLoS One 13, (2018).	2018.0	Top 100	iCell	1															Yes
Archer, C. R. et al. Characterization and validation of a human 3D cardiac microtissue for the assessment of changes in cardiac pathology. Sci Rep 8, (2018).	2018.0	Top 100	iCell	1							Blasticidin	30-32	Flow cytometry for cTnT+	98					
Beauchamp, P. et al. 3D Co-culture of hiPSC-Derived Cardiomyocytes With Cardiac Fibroblasts Improves Tissue-Like Features of Cardiac Spheroids. Front Mol Biosci 7, (2020).	2020.0	Top 100 	iCell2, Cor.4U	2															Yes
Beauchamp, P. et al. Development and Characterization of a Scaffold-Free 3D Spheroid Model of Induced Pluripotent Stem Cell-Derived Human Cardiomyocytes. Tissue Eng Part C Methods 21, 852861 (2015).	2015.0	Top 100	iCell	1															
Bekhite, M. M. et al. Longitudinal metabolic profiling of cardiomyocytes derived from human-induced pluripotent stem cells. Basic Res Cardiol 115, (2020).	2020.0	Randomized	in-house	1		Activin A, BMP4, CHIR99021		BMP4, IWP-2			No glucose with lactate	21-26	Flow cytometry for a-actinin+	80					
Bhagwan, J. R. et al. Variable expression and silencing of CRISPR-Cas9 targeted transgenes identifies the AAVS1 locus as not an entirely safe harbour. F1000Res 8, 1911 (2019).	2019.0	Randomized	Not listed	1		Activin A, BMP4	0-2	KY02111, XAV939	2-4	4			IHC a-actinin	90					
Blazeski, A. et al. Functional Properties of Engineered Heart Slices Incorporating Human Induced Pluripotent Stem Cell-Derived Cardiomyocytes. Stem Cell Reports 12, 982995 (2019).	2019.0	Randomized	in-house	1	80	CHIR99021	0-2	IWR1	3-5	9			Flow cytometry for cTnT+	83					
Bliley, J. M. et al. Dynamic loading of human engineered heart tissue enhances contractile function and drives a desmosome-linked disease phenotype. Sci. Transl. Med 13, 1817 (2021).	2021.0	Selected	in-house	1		CHIR99021, Activin A	0-2	Wnt-C59	2-4		No glucose with lactate	17-21						Yes	Yes
Blinova, K. et al. Comprehensive translational assessment of human- induced pluripotent stem cell derived cardiomyocytes for evaluating drug-induced arrhythmias. Toxicological Sciences 155, 234247 (2017).	2017.0	Top 100	iCell, Cor.4U	2															
Blinova, K. et al. International Multisite Study of Human-Induced Pluripotent Stem Cell-Derived Cardiomyocytes for Drug Proarrhythmic Potential Assessment. Cell Rep 24, 35823592 (2018).	2018.0	Top 100	iCell, Cor.4U	3															
Block, T. et al. Human perinatal stem cell derived extracellular matrix enables rapid maturation of hiPSC-CM structural and functional phenotypes. Sci Rep 10, (2020).	2020.0	Selected	iCell	1															
Bobis-Wozowicz, S. et al. Human Induced Pluripotent Stem Cell-Derived Microvesicles Transmit RNAs and Proteins to Recipient Mature Heart Cells Modulating Cell Fate and Behavior. Stem Cells 33, 27482761 (2015).	2015.0	Top 100	in-house	1		5-azacytydine	0-1												
Borchert, T. et al. Catecholamine-Dependent b-Adrenergic Signaling in a Pluripotent Stem Cell Model of Takotsubo Cardiomyopathy. J Am Coll Cardiol 70, 965-991 (2017).	2017.0	Top 100	in-house	3	90	CHIR99021	0-2	IWP2	3-5	10	No glucose with lactate	30-33	Flow cytometry for cTnT+	90					
